8/9/2022 "ADU Task Force Update" "foreign policy"
8/9/2019 "A bill for an ordinance approving and accepting the Loretto Heights Small Area Plan, which plan shall become a part of the Comprehensive Plan 2040 for the City and County of Denver pursuant to the provisions of Section 12-61 of the Denver Revised Municipal Code.
Approves the Loretto Heights Small Area Plan, as part of the City’s Comprehensive Plan. The Committee approved filing this item at its meeting on 8-20-19." infrastructure
8/9/2019 "A bill for an ordinance changing the zoning classification for 3141 Raleigh Street in West Highland.
Approves an official map amendment to rezone property located at 3141 Raleigh Street from U-SU-A to U-SU-A1 (allowing an accessory dwelling unit), in Council District 1. The Committee approved filing this item at its meeting on 8-20-19." infrastructure
8/9/2019 "A resolution laying out, opening and establishing as part of the City street system a parcel of land as a public alley bounded by West Colfax Avenue, North Newton Street, West Conejos Place and North Meade Street.
Dedicates a parcel of land as public right of way as public alley, located in the alley bounded by West Colfax Avenue, North Newton Street, West Conejos Place and N. Meade Street in Council District 3. The Committee approved filing this item at its meeting on 8-20-19." infrastructure
8/9/2019 "A resolution laying out, opening and establishing as part of the City street system a parcel of land as a public alley bounded by West 17th Avenue, North Irving Street, West 18th Avenue and North Hooker Street.
Dedicates a parcel of land as public right of way as public alley, located in the alley bounded by West 17th Avenue, North Irving Street, West 18th Avenue and North Hooker Street in Council District 3. The Committee approved filing this item at its meeting on 8-27-19." law
8/13/2019 "A resolution authorizing and approving the expenditure and payment from the appropriation account designated “liability claims,” the sum of Twenty-Two Thousand, Five Hundred Dollars and Zero Cents ($22,500.00) made payable to Austin Caldwell and Franklin D. Azar & Associates, P.C. in full payment and satisfaction of all claims related to Claim Number 2018.0018, regarding an accident that occurred on December 6, 2017.
Settles a claim with Denver Public Works. This resolution was approved for filing at the Mayor-Council meeting on 8-13-19." infrastructure
8/14/2019 "Introduction of new Ethics Director for the City and County of Denver" welfare
8/12/2019 "A resolution approving a proposed Fifth Amendatory Agreement between the City and County of Denver and CenturyLink Communications, LLC to provide leased line, data, and telephone services.
Amends a contract with CenturyLink Communications, LLC. By adding $8,000,000 for a new total of $30,000,000, adding two years for a new end date of 9-30-21, modifying the Intrastate Metro Optical Ethernet (MOE) Service and adding a new lower price structure for leased line, data, and telephone services to the City (TECHS - CE90535). The last regularly scheduled Council meeting within the 30-day review perio" infrastructure
8/12/2019 "A resolution approving a proposed Third Amendatory Agreement between the City and County of Denver and Bayaud Enterprises, Inc., to provide TANF support services.
Amends a contract with Bayaud Enterprises, Inc. by adding $692,144 for a new total of $1,722,402 and one year for a new end date of 6-30-20 for services and support for individuals and families in the Temporary Assistance for Needy Families (TANF) program including support for participants applying for Social Security benefits, employment services, and vocational assessment services, citywide (SOCSV-2017-34845-03). The last regularl" welfare
8/12/2019 "A resolution approving a proposed Second Amendatory Agreement between the City and County of Denver and Work Options for Women to provide TANF support services.
Amends a contract with Work Options for Women by adding $185,000 for a new total of $605,000 and one year for a new end date of 6-30-20 to provide culinary skills training programs and intensive case management support, including job search and job placement, for up to 150 Temporary Assistance for Needy Families (TANF) participants, citywide (SOCSV-2017-34824-02). The last regularly scheduled Council meeting within the 30-day review p" law
8/12/2019 "A resolution approving and providing for the execution of a proposed Grant Agreement between the City and County of Denver and the United States of America Department of Housing and Urban Development concerning the “HOME FY19” program and the funding therefor.
Approves a grant agreement with the U.S. Department of Housing & Urban Development (HUD) for the 2019 allocation of $2,935,765 for HOME Investment Partnerships (HOME) to provide funding for the city’s housing development activities, including for building, buying, and rehabilitating affordable housing for rent or homeownership and provi" welfare
8/12/2019 "A resolution approving and providing for the execution of a proposed Grant Agreement between the City and County of Denver and the United States of America Department of Housing and Urban Development concerning the “Housing Opportunities for People with AIDS (HOPWA) FY19” program and the funding therefor.
